Place,Surface,Room Number,Flooring,Balcony,Price
Adice,74,3.0,1,1,118150.0
Adice,65,3.5,0,1,103800.0
Bulevar Oslobođenja,40,2.0,4,1,128750.0
Sajmište,53,2.0,8,1,164300.0
Stari Grad,56,2.5,1,1,173050.0
Salajka,45,1.5,4,1,78800.0
Kamenjar,33,0.5,1,0,56700.0
Sajmište,64,2.0,6,1,139050.0
Adice,60,2.5,2,1,98670.0
Detelinara,40,1.5,3,1,109180.0
Banatić,23,1.0,7,0,71000.0
Liman,39,1.5,9,1,97800.0
Bulevar Oslobođenja,60,2.5,0,1,119480.0
Adamovićevo Naselje,55,2.5,5,0,123600.0
Rotkvarija,48,2.0,2,0,153470.0
Telep,57,3.5,2,1,99910.0
Majur,53,2.5,0,0,122570.0
Podbara,56,2.5,0,1,122550.0
Bulevar Oslobođenja,82,4.0,3,1,261830.0
Bulevar Oslobođenja,82,4.0,3,1,261830.0
Grbavica,47,2.0,2,1,133900.0
Grbavica,73,3.0,2,1,168720.0
Stari Grad,48,2.0,2,1,153470.0
Stari Grad,72,3.0,5,1,180765.0
Adice,28,0.5,0,1,42500.0
Bulevar Oslobođenja,28,1.0,0,1,87550.0
Telep,57,2.5,3,1,111550.0
Detelinara,43,1.5,4,1,118450.0
Stari Grad,92,4.0,1,1,274800.0
Telep,58,2.5,3,1,132870.0
Bulevar Oslobođenja,65,3.5,6,1,141110.0
Bulevar Oslobođenja,73,3.5,7,1,164800.0
Bulevar Oslobođenja,110,4.0,2,1,249900.0
Bulevar Oslobođenja,63,3.0,1,1,124000.0
Stari Grad,50,2.0,1,0,231750.0
Bulevar Oslobođenja,33,1.0,3,1,84980.0
Podbara,46,2.5,2,1,118450.0
Sremska Kamenica,142,5.0,1,0,292500.0
Nova Detelinara,53,2.5,5,0,131330.0
Nova Detelinara,73,3.0,6,1,142800.0
Stari Grad,148,3.5,4,1,244200.0
Adice,36,1.5,1,0,66950.0
Bulevar Evrope,94,4.0,1,0,154500.0
Stari Grad,43,1.5,6,1,85000.0
Grbavica,55,2.0,2,1,128800.0
Sajmište,93,4.0,2,1,210750.0
Bulevar Oslobođenja,101,3.0,5,1,218360.0
Podbara,30,0.5,1,1,72100.0
Nova Detelinara,55,2.5,1,1,211150.0
Telep,49,2.5,0,1,114950.0
Telep,115,4.5,1,1,248600.0
Telep,61,3.0,2,1,144100.0
Telep,55,2.5,2,1,129200.0
Novo Naselje,65,2.5,5,1,142150.0
Adamovićevo Naselje,98,5.0,5,1,185000.0
Grbavica,56,3.0,1,1,173000.0
Novo Naselje,53,2.5,3,1,106460.0
Novo Naselje,65,2.5,1,1,129780.0
Stari Grad,30,0.5,0,1,77800.0
Adice,67,2.5,2,1,99500.0
Grbavica,47,2.0,2,1,142800.0
Kamenjar,40,1.5,0,1,67500.0
Adice,29,0.5,3,0,64890.0
Grbavica,106,4.0,2,0,247200.0
Podbara,30,0.5,1,1,72100.0
Nova Detelinara,55,2.5,1,1,211150.0
Telep,49,2.5,0,1,114950.0
Telep,115,4.5,1,1,248600.0
